Station,Year,Month,Day,Night,DayLimit,NightLimit
BEN03,2018,11,63,57,55,45
BEN03,2018,12,56,50,55,45
BEN04,2018,1,65,59,65,55
BEN04,2018,2,68,60,65,55
BEN04,2018,3,67,61,65,55
BEN04,2018,4,67,62,65,55
BEN04,2018,5,67,61,65,55
BEN04,2018,6,67,62,65,55
BEN04,2018,7,67,62,65,55
BEN04,2018,8,67,62,65,55
BEN04,2018,9,67,62,65,55
BEN04,2018,10,67,62,65,55
BEN04,2018,11,67,62,65,55
BEN04,2018,12,67,62,65,55
BEN05,2018,1,65,56,75,70
BEN05,2018,2,65,56,75,70
BEN05,2018,3,65,57,75,70
BEN05,2018,4,64,57,75,70
BEN05,2018,5,62,57,75,70
BEN05,2018,6,63,57,75,70
BEN05,2018,7,63,57,75,70
BEN05,2018,8,63,57,75,70
BEN05,2018,9,63,58,75,70
BEN05,2018,10,62,56,75,70
BEN05,2018,11,62,57,75,70
BEN05,2018,12,62,57,75,70
BEN06,2018,1,71,64,65,55
BEN06,2018,2,71,65,65,55
BEN06,2018,3,71,64,65,55
BEN06,2018,4,71,65,65,55
BEN06,2018,5,71,65,65,55
BEN06,2018,6,72,66,65,55
BEN06,2018,7,73,67,65,55
BEN06,2018,8,73,67,65,55
BEN06,2018,9,72,66,65,55
BEN06,2018,10,72,65,65,55
BEN06,2018,11,72,65,65,55
BEN06,2018,12,72,66,65,55
BEN07,2018,1,59,54,50,40
BEN07,2018,2,60,55,50,40
BEN07,2018,3,60,54,50,40
BEN07,2018,4,58,53,50,40
BEN07,2018,5,59,54,50,40
BEN07,2018,6,60,54,50,40
BEN07,2018,7,61,54,50,40
BEN07,2018,8,60,54,50,40
BEN07,2018,9,58,53,50,40
BEN07,2018,10,59,53,50,40
BEN07,2018,11,59,53,50,40
BEN07,2018,12,58,53,50,40
BEN08,2018,1,66,62,75,70
BEN08,2018,2,66,63,75,70
BEN08,2018,3,66,62,75,70
BEN08,2018,4,65,61,75,70
BEN08,2018,5,65,62,75,70
BEN08,2018,6,66,64,75,70
BEN08,2018,7,68,64,75,70
BEN08,2018,8,67,64,75,70
BEN08,2018,9,68,66,75,70
BEN08,2018,10,67,62,75,70
BEN08,2018,11,67,63,75,70
BEN08,2018,12,68,64,75,70
BEN09,2018,1,54,54,50,40
BEN09,2018,2,51,58,50,40
BEN09,2018,3,61,67,50,40
BEN09,2018,4,50,55,50,40
BEN09,2018,5,47,57,50,40
BEN09,2018,6,70,65,50,40
BEN09,2018,7,70,65,50,40
BEN09,2018,8,69,66,50,40
BEN09,2018,9,69,65,50,40
BEN09,2018,10,68,62,50,40
BEN09,2018,11,65,29,50,40
BEN09,2018,12,64,61,50,40
BEN10,2018,1,63,57,55,45
BEN10,2018,2,64,58,55,45
BEN10,2018,3,64,57,55,45
BEN10,2018,4,62,55,55,45
BEN10,2018,5,62,55,55,45
BEN10,2018,6,66,61,55,45
BEN10,2018,7,67,62,55,45
BEN10,2018,8,66,61,55,45
BEN10,2018,9,62,56,55,45
BEN10,2018,10,63,54,55,45
BEN10,2018,11,64,57,55,45
BEN10,2018,12,62,57,55,45
CHE01,2018,1,71,61,50,40
CHE01,2018,2,70,61,50,40
CHE01,2018,3,68,61,50,40
CHE01,2018,4,55,54,50,40
CHE01,2018,5,35,31,50,40
CHE01,2018,6,32,31,50,40
CHE01,2018,7,47,46,50,40
CHE01,2018,8,56,55,50,40
CHE01,2018,9,60,59,50,40
CHE01,2018,10,56,56,50,40
CHE01,2018,11,59,59,50,40
CHE01,2018,12,58,57,50,40
CHE02,2018,1,77,74,75,70
CHE02,2018,2,77,74,75,70
CHE02,2018,3,77,75,75,70
CHE02,2018,4,77,74,75,70
CHE02,2018,5,76,74,75,70
CHE02,2018,6,76,74,75,70
CHE02,2018,7,76,74,75,70
CHE02,2018,8,76,73,75,70
CHE02,2018,9,76,74,75,70
CHE02,2018,10,76,74,75,70
CHE02,2018,11,77,74,75,70
CHE02,2018,12,77,74,75,70
CHE03,2018,1,79,79,65,55
CHE03,2018,2,80,79,65,55
CHE03,2018,3,74,71,65,55
CHE03,2018,4,62,56,65,55
CHE03,2018,5,60,49,65,55
CHE03,2018,6,60,52,65,55
CHE03,2018,7,60,51,65,55
CHE03,2018,8,67,65,65,55
CHE03,2018,9,63,56,65,55
CHE03,2018,10,64,58,65,55
CHE03,2018,11,70,68,65,55
CHE03,2018,12,65,63,65,55
CHE04,2018,1,76,69,65,55
CHE04,2018,2,75,70,65,55
CHE04,2018,3,77,72,65,55
CHE04,2018,4,77,72,65,55
CHE04,2018,5,75,71,65,55
CHE04,2018,6,74,69,65,55
CHE04,2018,7,75,68,65,55
CHE04,2018,8,75,68,65,55
CHE04,2018,9,75,69,65,55
CHE04,2018,10,75,67,65,55
CHE04,2018,11,75,68,65,55
CHE04,2018,12,75,69,65,55
CHE05,2018,1,64,66,55,45
CHE05,2018,2,71,69,55,45
CHE05,2018,3,73,71,55,45
CHE05,2018,4,73,72,55,45
CHE05,2018,5,66,61,55,45
CHE05,2018,6,61,60,55,45
CHE05,2018,7,66,66,55,45
CHE05,2018,8,66,64,55,45
CHE05,2018,9,52,49,55,45
CHE05,2018,10,58,58,55,45
CHE05,2018,11,54,55,55,45
CHE05,2018,12,52,53,55,45
CHE06,2018,1,71,72,65,55
CHE06,2018,2,67,69,65,55
CHE06,2018,3,68,69,65,55
CHE06,2018,4,74,71,65,55
CHE06,2018,5,71,73,65,55
CHE06,2018,6,72,68,65,55
CHE06,2018,7,73,68,65,55
CHE06,2018,8,68,68,65,55
CHE06,2018,9,74,71,65,55
CHE06,2018,10,72,73,65,55
CHE06,2018,11,72,73,65,55
CHE06,2018,12,62,64,65,55
CHE07,2018,1,75,67,55,45
CHE07,2018,2,81,80,55,45
CHE07,2018,3,65,61,55,45
CHE07,2018,4,62,56,55,45
CHE07,2018,5,61,55,55,45
CHE07,2018,6,61,55,55,45
CHE07,2018,7,59,53,55,45
CHE07,2018,8,81,80,55,45
CHE07,2018,9,58,57,55,45
CHE07,2018,10,64,64,55,45
CHE07,2018,11,66,67,55,45
CHE07,2018,12,68,64,55,45
CHE08,2018,1,71,65,65,55
CHE08,2018,2,72,67,65,55
CHE08,2018,3,76,71,65,55
CHE08,2018,4,76,73,65,55
CHE08,2018,5,73,70,65,55
CHE08,2018,6,70,65,65,55
CHE08,2018,7,70,65,65,55
CHE08,2018,8,73,68,65,55
CHE08,2018,9,72,67,65,55
CHE08,2018,10,70,63,65,55
CHE08,2018,11,71,64,65,55
CHE08,2018,12,72,63,65,55
CHE09,2018,1,67,60,50,40
CHE09,2018,2,67,62,50,40
CHE09,2018,3,67,62,50,40
CHE09,2018,4,67,63,50,40
CHE09,2018,5,65,61,50,40
